client_id,districtname,region,avg_salary,unemployment_rate,criminilaty,enterpreneurs,loan_status,card_type,loan_amount
2445,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,gold,590820
5727,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,classic,590820
3415,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,classic,590820
4937,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,classic,590820
834,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,classic,590820
3382,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,classic,590820
3769,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,classic,590820
946,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,classic,590820
138,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,classic,590820
638,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,classic,590820
6255,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,classic,590820
1146,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,classic,590820
1616,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,classic,590820
3066,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,junior,590820
1080,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,classic,590820
2469,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,classic,590820
4764,"Brno - mesto","south Moravia",9897,1.7800000309944153,18708.5000,140,C,junior,590820
1811,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,gold,566640
2277,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,junior,566640
4516,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,classic,566640
4723,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,classic,566640
1251,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,classic,566640
4157,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,classic,566640
5016,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,classic,566640
466,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,classic,566640
3943,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,classic,566640
4188,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,classic,566640
3766,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,junior,566640
10798,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,junior,566640
1049,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,classic,566640
2929,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,classic,566640
2013,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,classic,566640
2662,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,junior,566640
4592,"Hl.m. Praha",Prague,12541,0.35999999940395355,92392.0000,167,C,classic,566640
